route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
371,YRT,1,HIGHWAY 7,,3,,49706F,FFFFFF
372,YRT,2,MILLIKEN,,3,,C49F08,FFFFFF
6,YRT,3,THORNHILL,,3,,A54785,FFFFFF
8,YRT,4,MAJOR MACKENZIE,,3,,0057A7,FFFFFF
9,YRT,4A,MAJOR MACKENZIE,,3,,0057A7,FFFFFF
10,YRT,5,CLARK,,3,,49706F,FFFFFF
11,YRT,7,MARTIN GROVE,,3,,0057A7,FFFFFF
374,YRT,8,KENNEDY,,3,,2B2A87,FFFFFF
375,YRT,9,9TH LINE,,3,,F68121,FFFFFF
12,YRT,10,WOODBRIDGE,,3,,01A78F,FFFFFF
14,YRT,12,PINE VALLEY,,3,,6CC06A,FFFFFF
15,YRT,13,ISLINGTON,,3,,A17D7D,FFFFFF
5268,YRT,14,14TH AVENUE,,3,,65A7BD,FFFFFF
6259,YRT,15,STOUFFVILLE,,3,,65A7BD,FFFFFF
5269,YRT,16,16TH AVENUE,,3,,4A6CB3,FFFFFF
377,YRT,18,BUR OAK,,3,,6CC06A,FFFFFF
16,YRT,20,JANE,,3,,7F6951,FFFFFF
6891,YRT,20A,JANE,,3,,7F6951,FFFFFF
5335,YRT,21,VELLORE LOCAL,,3,,00848B,FFFFFF
272,YRT,22,KING CITY,,3,,486F6E,FFFFFF
378,YRT,224B,WOODBINE AVENUE,,3,,00AEEF,FFFFFF
2624,YRT,22A,KING CITY,,3,,486F6E,FFFFFF
17,YRT,23,THORNHILL WOODS,,3,,FDB813,FFFFFF
9481,YRT,24,WOODBINE AVENUE,,3,,FDB813,FFFFFF
5272,YRT,25,MAJOR MACKENZIE,,3,,BE5B60,FFFFFF
5337,YRT,26,MAPLE LOCAL,,3,,3FC8F4,FFFFFF
50,YRT,28,HUNTINGTON,,3,,DD62A5,FFFFFF
273,YRT,31,AURORA NORTH,,3,,C5A009,FFFFFF
274,YRT,32,AURORA SOUTH,,3,,0056A6,FFFFFF
275,YRT,33,WELLINGTON,,3,,01B4CA,FFFFFF
276,YRT,33A,WELLINGTON,,3,,01B4CA,FFFFFF
379,YRT,40,UNIONVILLE LOCAL,,3,,806B50,FFFFFF
380,YRT,41,MARKHAM LOCAL,,3,,CC8B51,FFFFFF
853,YRT,42,BERCZY,,3,,01BBE1,FFFFFF
278,YRT,44,BRISTOL,,3,,66A6BF,FFFFFF
854,YRT,45,MINGAY,,3,,EA77B0,FFFFFF
4388,YRT,50,QUEENSWAY,,3,,674287,FFFFFF
279,YRT,51,KESWICK LOCAL,,3,,DD62A5,FFFFFF
280,YRT,52,HOLLAND LANDING,,3,,A64686,FFFFFF
282,YRT,54,BAYVIEW,,3,,806B50,FFFFFF
283,YRT,55,DAVIS DRIVE,,3,,0157AA,FFFFFF
284,YRT,55B,DAVIS DRIVE,,3,,0157AA,FFFFFF
